ID,Meno a priezvisko,Súd 2021,Potvrdené odvolania,Vybavenosť,Dispozičný čas,Restančné z nevybavených,Produktivita,,,,,,,
436,Bohuš Hruška,Okresný súd Zvolen,3,3,7,7,8,,,,,,,
437,"Martina Hrušovská, PhD.",Mestský súd Bratislava V,6,N/A,N/A,N/A,N/A,,,,,,,
439,Hana Hubináková,Okresný súd Trenčín,0,0,0,0,2,,,,,,,
440,Ľubomír Hudák,Okresný súd Malacky,4,N/A,N/A,N/A,N/A,,,,,,,
443,Vlasta Huljaková,Okresný súd Banská Bystrica,6,N/A,N/A,N/A,N/A,,,,,,,
446,Milan Hupka,Mestský súd Bratislava II,4,0,0,2,4,,,,,,,
447,Mária Husárová,Okresný súd Spišská Nová Ves,0,N/A,N/A,N/A,N/A,,,,,,,
450,Milan Husťák,Mestský Súd Košice,1,N/A,N/A,N/A,N/A,,,,,,,
453,Veronika Húšťová,Okresný súd Martin,0,N/A,N/A,N/A,N/A,,,,,,,
454,Agnesa Hvastová,Okresný súd Rožňava,8,7,5,4,2,,,,,,,
455,Peter Hvizdoš,Okresný súd Trenčín,7,9,2,6,3,,,,,,,
458,Dušan Chamula,Okresný súd Žilina,3,N/A,N/A,N/A,N/A,,,,,,,
460,Vojtech Chmelan,Okresný súd Prievidza,4,6,7,5,5,,,,,,,
461,Ľubica Chmelanová,Okresný súd Prievidza,9,9,6,7,6,,,,,,,
463,Lucia Chrapková Ph.D.,Okresný súd Piešťany,2,N/A,N/A,N/A,N/A,,,,,,,
464,Ľuboš Chrenko,Okresný súd Topoľčany,7,2,4,5,4,,,,,,,
465,Andrej Chuda,Okresný súd Michalovce,3,N/A,N/A,N/A,N/A,,,,,,,
466,Magda Chudová,Okresný súd Michalovce,1,N/A,N/A,N/A,N/A,,,,,,,
467,Daniel Ilavský,Okresný súd Galanta,1,N/A,N/A,N/A,N/A,,,,,,,
471,Mária Ilgová,Okresný súd Martin,2,N/A,N/A,N/A,N/A,,,,,,,
472,Jaroslav Ivan,Okresný súd Piešťany,7,7,2,3,4,,,,,,,
473,Martin Ivan,Okresný súd Komárno,7,1,6,6,4,,,,,,,
474,Slavomír Ivanecký,Okresný súd Bardejov,6,5,8,6,4,,,,,,,
479,Mária Jačeková Sziegel,Okresný súd Dunajská Streda,3,4,6,5,8,,,,,,,
480,Ivana Jaďuďová,Okresný súd Komárno,2,7,5,6,6,,,,,,,
481,Miroslav Jagnešák,Okresný súd Námestovo,3,N/A,N/A,N/A,N/A,,,,,,,
482,Ivana Jahnová,Mestský súd Bratislava V,10,N/A,N/A,N/A,N/A,,,,,,,
485,Milena Jakubíková,Okresný súd Levice,7,3,7,6,10,,,,,,,
486,Monika Jakubová,Okresný súd Dunajská Streda,5,4,5,1,5,,,,,,,
487,Rastislav Jakubovič,Okresný súd Galanta,1,6,5,3,6,,,,,,,
488,Ján Jamrich,Mestský súd Bratislava I,4,N/A,N/A,N/A,N/A,,,,,,,
490,Mária Jamrišková,Okresný súd Martin,N/A,N/A,N/A,N/A,N/A,,,,,,,
492,Renáta Janáková,Mestský súd Bratislava V,N/A,N/A,N/A,N/A,N/A,,,,,,,
494,Marián Jančovič,Mestský súd Bratislava IV,2,N/A,N/A,N/A,N/A,,,,,,,
495,Alena Jančulová,Okresný súd Čadca,6,N/A,N/A,N/A,0,,,,,,,
496,Katarína Janečková,Okresný súd Rožňava,4,N/A,N/A,N/A,N/A,,,,,,,
501,Róbert Jankovský,Okresný súd Považská Bystrica,5,4,7,7,8,,,,,,,
502,Milina Jánošková,Okresný súd Trenčín,2,7,4,6,4,,,,,,,
503,Jarmila Jánošová,Okresný súd Banská Bystrica,6,0,8,5,7,,,,,,,
504,Katarína Janotová,Okresný súd Martin,8,6,5,6,4,,,,,,,
508,Beáta Javorková,Okresný súd Piešťany,2,N/A,N/A,N/A,N/A,,,,,,,
509,Zlatica Javorová,Okresný súd Trnava,N/A,N/A,N/A,N/A,N/A,,,,,,,
510,Iveta Jenčová,Okresný súd Poprad,5,0,1,2,5,,,,,,,
511,Erika Jóbová,Okresný súd Komárno,7,1,7,6,4,,,,,,,
517,Milan Jurko,Okresný súd Trebišov,5,N/A,N/A,N/A,N/A,,,,,,,
519,Jarmila Jurkovičová,Mestský súd Bratislava IV,0,N/A,N/A,N/A,N/A,,,,,,,
520,Katarína Jusková,Okresný súd Košice II,2,N/A,N/A,N/A,N/A,,,,,,,
521,Monika Jusková,Okresný súd Prešov,5,N/A,N/A,N/A,N/A,,,,,,,
522,Michal Kačáni,Mestský súd Bratislava I,9,N/A,N/A,N/A,N/A,,,,,,,
523,Alena Káčeriková,Okresný súd Martin,4,0,0,10,1,,,,,,,
524,Dana Káčerová,Mestský súd Bratislava I,7,8,0,2,7,,,,,,,
525,Erik Kačmár,Okresný súd Trenčín,6,7,7,7,6,,,,,,,
526,Ingrid Kalináková,Okresný súd Prešov,4,N/A,N/A,N/A,N/A,,,,,,,
529,Marta Kamenská,Okresný súd Veľký Krtíš,4,0,5,7,1,,,,,,,
530,Miriam Kamenská,Okresný súd Banská Bystrica,6,N/A,N/A,N/A,N/A,,,,,,,
531,Dušan Kán,Okresný súd Košice II,1,N/A,N/A,N/A,N/A,,,,,,,
532,Petr Kaňa,Okresný súd Komárno,6,N/A,N/A,N/A,N/A,,,,,,,
533,Jozef Kanás,Okresný súd Nové Zámky,N/A,N/A,N/A,N/A,N/A,,,,,,,
534,Jaroslav Kanderka,Okresný súd Prešov,4,5,0,3,5,,,,,,,
536,Viera Kandriková,Okresný súd Prešov,10,N/A,N/A,N/A,N/A,,,,,,,
539,Mário Karaffa,Okresný súd Galanta,1,3,5,6,10,,,,,,,
540,Pavol Karas,Okresný súd Košice II,0,N/A,N/A,N/A,N/A,,,,,,,
542,Jarmila Kasanová,Okresný súd Žiar nad Hronom,6,6,7,7,5,,,,,,,
543,Anna Kašajová,Mestský súd Bratislava I,7,N/A,N/A,N/A,N/A,,,,,,,
544,Mária Kašíková,Okresný súd Žilina,9,N/A,N/A,N/A,N/A,,,,,,,
546,Katarína Katková,Okresný súd Lučenec,4,N/A,N/A,N/A,N/A,,,,,,,
547,Andrej Kekely,Okresný súd Žilina,8,N/A,N/A,N/A,N/A,,,,,,,
548,"Ondrej Kekeňák, PhD.",Okresný súd Brezno,5,8,7,4,1,,,,,,,
550,Roland Kemény,Mestský súd Bratislava I,2,0,6,3,4,,,,,,,
552,Mária Képessyová,Okresný súd Dunajská Streda,1,4,3,0,6,,,,,,,
554,Jana Keselicová,Okresný súd Svidník,7,1,2,5,4,,,,,,,
555,Kajetán Kičura,Okresný súd Čadca,3,N/A,N/A,N/A,N/A,,,,,,,
556,Marcel Kirnág,Okresný súd Michalovce,2,5,1,6,7,,,,,,,
557,"Ingrid Kišacová, PhD.",Okresný súd Topoľčany,7,N/A,N/A,N/A,N/A,,,,,,,
559,Eva Kiššová,Okresný súd Prievidza,9,5,8,10,5,,,,,,,
560,Edita Klapáčová,Mestský Súd Košice,2,N/A,N/A,N/A,N/A,,,,,,,
563,Zdenka Kleimanová,Mestský súd Bratislava V,3,N/A,N/A,N/A,N/A,,,,,,,
567,Anna Klepáčová,Mestský súd Bratislava III,7,N/A,N/A,N/A,N/A,,,,,,,
570,Magdaléna Klimková,Okresný súd Humenné,9,N/A,N/A,N/A,N/A,,,,,,,
571,Branislav Klukoš,Okresný súd Ružomberok,5,7,7,7,4,,,,,,,
573,Renáta Kňazúrová,Okresný súd Dolný Kubín,6,5,7,6,5,,,,,,,
574,Judita Knociková,Okresný súd Trenčín,4,6,6,5,3,,,,,,,
577,Marek Kohút,Okresný súd Poprad,2,N/A,N/A,N/A,N/A,,,,,,,
578,Miriam Kohútová,Okresný súd Prievidza,N/A,N/A,N/A,N/A,N/A,,,,,,,
579,"Miriam Kohútová, PhD.",Okresný súd Prievidza,6,6,7,7,6,,,,,,,
583,Miloš Kolek,Okresný súd Prešov,5,N/A,N/A,N/A,N/A,,,,,,,
584,Martin Kolesár,Okresný súd Košice II,4,N/A,N/A,N/A,N/A,,,,,,,
585,Martin Kollár,Okresný súd Zvolen,1,4,6,1,10,,,,,,,
586,Natália Kolláriková,Mestský súd Bratislava V,3,2,2,7,8,,,,,,,
587,Nina Kollárová,Okresný súd Poprad,4,0,0,4,3,,,,,,,
588,Dagmar Komadová,Okresný súd Veľký Krtíš,6,N/A,N/A,N/A,N/A,,,,,,,
591,Andrea Kondllová,Okresný súd Piešťany,8,7,8,4,6,,,,,,,
592,Daniel Koneracký,Okresný súd Levice,5,10,3,7,2,,,,,,,
593,Adriana Konkolovská,Okresný súd Komárno,2,0,3,8,3,,,,,,,
594,Dáša Kontríková,Mestský súd Bratislava I,7,N/A,N/A,N/A,N/A,,,,,,,
595,Martin Kopina,Okresný súd Vranov nad Topľou,4,7,4,6,7,,,,,,,
596,Martin Kopšo,Mestský súd Bratislava IV,2,0,0,1,0,,,,,,,
597,Eva Korbeľová,Okresný súd Banská Bystrica,7,6,8,2,4,,,,,,,
598,Magdaléna Korčáková,Mestský Súd Košice,2,N/A,N/A,N/A,N/A,,,,,,,
599,Zuzana Korčeková,Mestský súd Bratislava II,7,8,5,3,10,,,,,,,
600,Jozef Korduliak,Okresný súd Čadca,0,N/A,N/A,N/A,N/A,,,,,,,
601,Arpád Koreň,Okresný súd Rožňava,7,5,8,7,5,,,,,,,
602,Martina Koreňová,Okresný súd Rimavská Sobota,9,8,8,9,5,,,,,,,
603,Viera Koscelanská,Okresný súd Nitra,10,0,0,6,0,,,,,,,
605,Klaudia Kosková,Okresný súd Zvolen,2,N/A,N/A,N/A,N/A,,,,,,,
607,Jana Kosorínová,Okresný súd Levice,4,0,2,7,4,,,,,,,
608,Marcela Kosová,Mestský súd Bratislava V,2,N/A,N/A,N/A,N/A,,,,,,,
609,Jeanette Kostolanská,Mestský súd Bratislava III,4,N/A,N/A,N/A,N/A,,,,,,,
610,Marek Koščo,Okresný súd Humenné,1,1,6,10,5,,,,,,,
611,Jana Koščová,Okresný súd Košice II,3,9,4,5,10,,,,,,,
612,Monika Koščová,Okresný súd Trebišov,3,N/A,N/A,N/A,N/A,,,,,,,
613,Marek Kotora,Okresný súd Michalovce,2,N/A,N/A,N/A,N/A,,,,,,,
615,Daniela Kotrecová,Mestský súd Bratislava IV,6,0,2,10,0,,,,,,,
616,Vladimír Kotus,Okresný súd Košice II,7,N/A,N/A,N/A,N/A,,,,,,,
617,Eva Kovácsová,Okresný súd Nové Zámky,8,3,9,6,1,,,,,,,
618,Tatiana Kovácsová,Okresný súd Lučenec,4,5,8,7,9,,,,,,,
619,Ján Kováč,Okresný súd Nitra,0,N/A,N/A,N/A,N/A,,,,,,,
622,Mária Kováčiková,Okresný súd Banská Bystrica,4,0,7,5,7,,,,,,,
624,Lenka Kováčová,Okresný súd Nitra,3,N/A,N/A,N/A,N/A,,,,,,,
626,Viera Kováčová,Okresný súd Košice II,4,10,3,4,10,,,,,,,
628,Jana Kovalčíková,Okresný súd Zvolen,0,5,5,6,7,,,,,,,
629,Margita Kovaľová,Okresný súd Námestovo,4,N/A,N/A,N/A,N/A,,,,,,,
631,Vladimír Kozáčik,Okresný súd Žilina,6,8,3,4,2,,,,,,,
632,Ján Kozenko,Okresný súd Vranov nad Topľou,7,N/A,N/A,N/A,N/A,,,,,,,
634,Helena Kožíková,Mestský súd Bratislava IV,1,N/A,N/A,N/A,N/A,,,,,,,
635,Renáta Krajčiová,Okresný súd Ružomberok,4,8,6,6,3,,,,,,,
636,Pavlína Krajčírová,Okresný súd Piešťany,6,N/A,N/A,N/A,N/A,,,,,,,
637,Ondrej Krajčo,Mestský súd Bratislava IV,7,N/A,N/A,N/A,N/A,,,,,,,
638,Michaela Krajčová,Mestský súd Bratislava II,6,0,5,7,7,,,,,,,
643,Branislav Král,Mestský súd Bratislava I,6,N/A,N/A,N/A,N/A,,,,,,,
647,Jozefína Králová,Mestský súd Bratislava IV,2,N/A,N/A,N/A,N/A,,,,,,,
648,Michaela Králová,Okresný súd Pezinok,5,N/A,N/A,N/A,N/A,,,,,,,
649,Andrea Kralovičová,Okresný súd Malacky,5,0,1,7,7,,,,,,,
650,Mária Krausová,Okresný súd Topoľčany,3,2,7,4,7,,,,,,,
651,Dušan Krč-Šebera,Okresný súd Komárno,2,N/A,N/A,N/A,N/A,,,,,,,
652,Rastislav Kresl,Okresný súd Trnava,6,N/A,N/A,N/A,N/A,,,,,,,
653,Ľubomíra Krchníková,Okresný súd Pezinok,5,5,7,7,5,,,,,,,
654,Andrea Krišková,Mestský súd Bratislava III,4,N/A,N/A,N/A,N/A,,,,,,,
655,Ľubica Krišková,Mestský súd Bratislava II,6,N/A,N/A,N/A,N/A,,,,,,,
656,Miroslav Krištofík,Okresný súd Galanta,0,N/A,N/A,N/A,N/A,,,,,,,
658,Katarína Krivulčíková,Okresný súd Považská Bystrica,5,6,5,5,3,,,,,,,
659,Anna Križáková,Mestský súd Bratislava V,7,2,5,6,1,,,,,,,
661,Anna Križanová,Okresný súd Nové Zámky,5,4,5,8,8,,,,,,,
662,Jana Krnáčová,Okresný súd Zvolen,7,4,6,8,6,,,,,,,
663,Karol Krochta,Okresný súd Stará Ľubovňa,4,N/A,N/A,N/A,N/A,,,,,,,
667,Andrej Kubinský,Okresný súd Kežmarok,3,N/A,N/A,N/A,N/A,,,,,,,
668,Ivan Kubínyi,Okresný súd Nové Mesto nad Váhom,9,N/A,N/A,N/A,N/A,,,,,,,
669,Andrea Kubjatková,Okresný súd Čadca,4,0,3,7,5,,,,,,,
670,Monika Kublová,Okresný súd Nitra,2,10,7,4,10,,,,,,,
671,Mária Kubusová,Okresný súd Poprad,0,0,10,,0,,,,,,,
674,Zuzana Kučerová,Mestský súd Bratislava I,7,N/A,N/A,N/A,N/A,,,,,,,
677,Zuzana Kudlovská,Mestský Súd Košice,3,2,1,1,2,,,,,,,
679,Viera Kukučková,Mestský súd Bratislava III,6,7,1,4,7,,,,,,,
681,Viera Kumová,Okresný súd Trenčín,2,2,2,3,2,,,,,,,
684,Jozef Kurian,Okresný súd Poprad,4,N/A,N/A,N/A,N/A,,,,,,,
685,Marián Kurinec,Mestský súd Bratislava III,0,0,0,4,6,,,,,,,
686,Monika Kurjaková,Okresný súd Námestovo,3,10,4,3,3,,,,,,,
688,Peter Kuruc,Okresný súd Poprad,5,0,1,7,2,,,,,,,
689,Jana Kurucová,Okresný súd Humenné,6,7,4,3,6,,,,,,,
690,Marián Kusý,Okresný súd Trnava,4,N/A,N/A,N/A,N/A,,,,,,,
691,Edita Kušnírová,Okresný súd Rožňava,9,N/A,N/A,N/A,N/A,,,,,,,
694,Anna Kutišová,Okresný súd Považská Bystrica,4,N/A,N/A,N/A,N/A,,,,,,,
695,Nicola Kuzmiaková,Okresný súd Košice okolie,2,N/A,N/A,N/A,N/A,,,,,,,
696,Helena Kuzmová,Okresný súd Trebišov,3,N/A,N/A,N/A,N/A,,,,,,,
697,Lenka Kvasnicová,Okresný súd Trenčín,2,10,3,5,5,,,,,,,
698,Miroslava Kvetková,Okresný súd Revúca,7,4,7,9,3,,,,,,,
699,Viera Kvetková,Okresný súd Rimavská Sobota,9,8,8,9,7,,,,,,,
700,Peter Kvietok,Okresný súd Revúca,10,N/A,N/A,N/A,N/A,,,,,,,
702,Gabriela Kyseľová,Okresný súd Námestovo,4,3,1,4,5,,,,,,,
703,Libor Kysucký,Okresný súd Považská Bystrica,2,4,4,3,6,,,,,,,
705,Radoslav Lacko,Mestský Súd Košice,N/A,10,3,7,1,,,,,,,
707,Martina Ľachová,Okresný súd Galanta,4,N/A,N/A,N/A,N/A,,,,,,,
708,Kristína Lakotová,Okresný súd Malacky,2,N/A,N/A,N/A,N/A,,,,,,,
710,Elena Lámerová,Okresný súd Brezno,6,4,7,10,1,,,,,,,
711,Viera Lamprechtová,Mestský súd Bratislava III,4,N/A,N/A,N/A,N/A,,,,,,,
713,Ján Lapšanský,Okresný súd Spišská Nová Ves,7,N/A,N/A,N/A,N/A,,,,,,,
715,Danka Lauková,Okresný súd Prievidza,10,6,7,7,5,,,,,,,
716,"Branislav Lečko, PhD.",Okresný súd Žilina,8,3,5,6,7,,,,,,,
718,Miroslav Lehoczký,Okresný súd Malacky,3,N/A,N/A,N/A,N/A,,,,,,,
720,Juraj Lehotský,Okresný súd Zvolen,2,2,4,7,5,,,,,,,
721,Zita Leimbergerová,Mestský súd Bratislava V,4,10,4,5,10,,,,,,,
722,Erika Lengyelová,Okresný súd Dunajská Streda,4,N/A,N/A,N/A,N/A,,,,,,,
727,David Lindtner,Mestský súd Bratislava III,2,N/A,N/A,N/A,N/A,,,,,,,
728,Daniela Linetová,Mestský súd Bratislava III,5,0,0,4,7,,,,,,,
729,Silvia Lipovská,Okresný súd Trnava,0,N/A,N/A,N/A,N/A,,,,,,,
731,Monika Liptáková,Okresný súd Žilina,8,N/A,N/A,N/A,N/A,,,,,,,
732,Anna Lisá,Okresný súd Humenné,6,N/A,N/A,N/A,N/A,,,,,,,
733,Helena Loduhová,Okresný súd Považská Bystrica,3,N/A,N/A,N/A,N/A,,,,,,,
734,Zuzana Lohnertová,Mestský súd Bratislava III,4,4,5,7,6,,,,,,,
735,Ján Lokša,Okresný súd Košice II,3,4,6,2,4,,,,,,,
736,"Martin Lopuch, PhD.",Okresný súd Michalovce,3,N/A,N/A,N/A,N/A,,,,,,,
737,Ladislav Lóška,Okresný súd Lučenec,3,6,9,8,9,,,,,,,
738,Lýdia Lučivjanská,Mestský Súd Košice,4,N/A,N/A,N/A,N/A,,,,,,,
739,Andrej Lukáč,Okresný súd Humenné,0,N/A,N/A,N/A,N/A,,,,,,,
741,Juraj Lukáč,Okresný súd Liptovský Mikuláš,5,4,3,3,5,,,,,,,
743,Peter Lukáč,Okresný súd Žiar nad Hronom,3,6,6,7,4,,,,,,,
745,Dana Macášková,Okresný súd Trnava,8,4,3,5,3,,,,,,,
747,Jaroslav Macek,Okresný súd Žilina,10,3,1,8,2,,,,,,,
748,Eva Macúchová,Okresný súd Nové Mesto nad Váhom,10,N/A,N/A,N/A,N/A,,,,,,,
750,Marián Mačura,Okresný súd Prešov,5,N/A,N/A,N/A,N/A,,,,,,,
754,Danka Majdáková,Okresný súd Stará Ľubovňa,9,4,7,7,4,,,,,,,
756,Ľudovít Majerčík,Okresný súd Komárno,6,4,8,6,0,,,,,,,
757,Janka Majerčíková,Okresný súd Ružomberok,5,10,5,4,2,,,,,,,
758,Anna Majeriková,Okresný súd Žilina,7,6,3,5,4,,,,,,,
759,Bohuslav Majerníček,Okresný súd Kežmarok,0,N/A,N/A,N/A,N/A,,,,,,,
760,"Milan Majerník, PhD.",Okresný súd Bardejov,7,5,7,8,3,,,,,,,
762,Roman Majerský,Okresný súd Pezinok,5,N/A,N/A,N/A,N/A,,,,,,,
763,Miroslava Maláriková,Okresný súd Trnava,6,5,6,7,7,,,,,,,
764,Marcela Malatká,Okresný súd Žilina,5,N/A,N/A,N/A,N/A,,,,,,,
765,Blanka Malichová,Mestský súd Bratislava II,8,N/A,N/A,N/A,N/A,,,,,,,
767,Mária Malíková,Okresný súd Nitra,3,N/A,N/A,N/A,N/A,,,,,,,
768,Zuzana Mališová,Mestský súd Bratislava I,8,N/A,N/A,N/A,N/A,,,,,,,
770,Igor Malý,Okresný súd Trnava,5,3,5,7,5,,,,,,,
771,Daniela Mamráková,Mestský súd Bratislava IV,5,N/A,N/A,N/A,N/A,,,,,,,
772,Miroslav Manďák,Okresný súd Trenčín,3,N/A,N/A,N/A,N/A,,,,,,,
773,Marián Manduch,Okresný súd Trenčín,6,5,8,4,9,,,,,,,
774,Miriam Manová,Okresný súd Bánovce nad Bebravou,7,N/A,N/A,N/A,N/A,,,,,,,
775,Eva Marčeková,Okresný súd Martin,1,N/A,N/A,N/A,N/A,,,,,,,
777,Markéta Marečková,Okresný súd Poprad,4,0,0,6,4,,,,,,,
779,Alžbeta Marková,Mestský súd Bratislava IV,4,0,5,9,10,,,,,,,
782,Viera Marková,Mestský súd Bratislava I,9,5,0,0,3,,,,,,,
788,Alena Martinusová,Mestský súd Bratislava V,1,N/A,N/A,N/A,N/A,,,,,,,
790,Zuzana Maruniaková,Mestský súd Bratislava V,N/A,N/A,N/A,N/A,N/A,,,,,,,
791,Ivo Maruščák,Okresný súd Svidník,0,N/A,N/A,N/A,N/A,,,,,,,
797,Zdenka Mattielighová,Mestský súd Bratislava III,5,2,3,6,5,,,,,,,
798,Róbert Matulák,Okresný súd Prievidza,7,7,8,8,5,,,,,,,
799,"Eva Matulayová, PhD.",Okresný súd Partizánske,3,N/A,N/A,N/A,N/A,,,,,,,
800,Andrej Matušovic,Okresný súd Žiar nad Hronom,5,4,8,2,1,,,,,,,
801,Zuzana Matyiová,Okresný súd Košice okolie,0,N/A,N/A,N/A,N/A,,,,,,,
804,Miroslav Mazúch,Okresný súd Martin,5,N/A,N/A,N/A,N/A,,,,,,,
805,Alena Mazúrová,Mestský Súd Košice,4,0,0,6,4,,,,,,,
806,Terézia Mecelová,Okresný súd Piešťany,10,N/A,N/A,N/A,N/A,,,,,,,
809,Jozef Medveď,Okresný súd Žiar nad Hronom,5,6,8,5,8,,,,,,,
812,Marta Melicherčíková,Mestský Súd Košice,6,4,2,6,10,,,,,,,
813,Cecília Melišková,Okresný súd Nové Zámky,5,N/A,N/A,N/A,N/A,,,,,,,
814,Martina Melníková,Okresný súd Vranov nad Topľou,7,5,5,7,5,,,,,,,
815,Peter Mén,Okresný súd Košice okolie,7,6,6,2,6,,,,,,,
817,Helena Menichová,Okresný súd Martin,7,8,6,7,4,,,,,,,
818,Denisa Mesárošová,Okresný súd Nitra,1,10,4,3,10,,,,,,,
822,Eva Mészárosová,Mestský súd Bratislava V,5,N/A,N/A,N/A,N/A,,,,,,,
823,Marie Mészárosová,Okresný súd Dunajská Streda,5,N/A,N/A,N/A,N/A,,,,,,,
824,Peter Mezőszállási,Okresný súd Komárno,4,3,2,5,1,,,,,,,
825,Oľga Mičietová,Okresný súd Košice II,4,N/A,N/A,N/A,N/A,,,,,,,
826,Janka Mičková,Okresný súd Košice II,0,10,2,1,10,,,,,,,
829,Juraj Mihál,Mestský súd Bratislava I,0,N/A,N/A,N/A,N/A,,,,,,,
830,Soňa Mihaľáková,Okresný súd Košice II,3,5,7,0,3,,,,,,,
832,Eva Mihálechová,Okresný súd Banská Bystrica,2,N/A,N/A,N/A,N/A,,,,,,,
833,Anna Miháliková,Okresný súd Žilina,7,N/A,N/A,N/A,N/A,,,,,,,
834,Renáta Mihalíková,Okresný súd Topoľčany,4,3,8,3,3,,,,,,,
835,Viera Mihalová,Okresný súd Pezinok,N/A,N/A,N/A,N/A,N/A,,,,,,,
836,Iveta Mihóková,Okresný súd Vranov nad Topľou,7,2,7,8,3,,,,,,,
837,Božena Michaláčová,Okresný súd Skalica,7,10,6,4,5,,,,,,,
840,Tomáš Michálek,Okresný súd Pezinok,4,4,4,4,2,,,,,,,
844,Stanislava Miklánková,Okresný súd Nové Mesto nad Váhom,8,N/A,N/A,N/A,N/A,,,,,,,
845,Eva Miklošková,Mestský súd Bratislava V,6,N/A,N/A,N/A,N/A,,,,,,,
846,Zuzana Miklošová,Okresný súd Trebišov,5,3,5,8,4,,,,,,,
847,Anna Miklová,Okresný súd Nové Zámky,7,N/A,N/A,N/A,N/A,,,,,,,
848,Jozef Mikluš,Mestský Súd Košice,4,8,4,1,1,,,,,,,
849,Alena Miková,Okresný súd Košice II,5,N/A,N/A,N/A,N/A,,,,,,,
852,Vanda Mikulášová,Okresný súd Námestovo,0,10,4,2,8,,,,,,,
853,Marek Mikulčík,Okresný súd Pezinok,2,2,3,0,8,,,,,,,
856,"Viera Milatová, PhD.",Mestský súd Bratislava V,5,N/A,N/A,N/A,N/A,,,,,,,
857,Ján Miľko,Okresný súd Trebišov,6,N/A,N/A,N/A,N/A,,,,,,,
860,Silvia Minková,Okresný súd Zvolen,7,5,6,8,6,,,,,,,
863,Patrícia Miskolczyová,Mestský Súd Košice,2,N/A,N/A,N/A,N/A,,,,,,,
865,Andrej Mitterpák,Mestský Súd Košice,8,4,9,3,3,,,,,,,
866,Milan Mitterpák,Okresný súd Michalovce,0,8,2,5,8,,,,,,,
868,Daniel Miženko,Okresný súd Galanta,7,N/A,N/A,N/A,N/A,,,,,,,
869,Dagmar Mlejová,Okresný súd Košice okolie,2,N/A,N/A,N/A,N/A,,,,,,,
870,Slavomíra Mlynarčíková,Okresný súd Liptovský Mikuláš,6,7,7,5,3,,,,,,,
