name	date
Mgr. Marek Anovčin	4.2.2009
JUDr. Michal Antala	29.10.2004
Mgr. Katarína Arnouldová	1.7.2004
Mgr. Zuzana Bajlová	29.10.2004
JUDr. Radoslav Baláž	25.1.2010
JUDr. Martina Balegová	20.6.2005
JUDr. Martin Baločko	22.1.2008
JUDr. Miroslav Baňacký, PhD.	26.6.2007
JUDr. Marta Barková	22.1.2008
JUDr. Ivan Bartek	18.3.2005
JUDr. Lucia Bašistová	26.6.2007
JUDr. Erika Bebčáková	20.6.2005
JUDr. Richard Bejda	29.11.2005
JUDr. Monika Bellová	18.3.2005
Mgr. Katarína Beniačová	29.10.2004
JUDr. Daniel Béreš	29.10.2004
JUDr. Daniela Bergerová	18.3.2005
JUDr. Ján Bernát	29.10.2004
Mgr. Zuzana Bezáková	20.6.2005
JUDr. Zuzana Biščáková	24.9.2008
JUDr. Roman Bolebruch	20.6.2005
JUDr. Silvio Boleček, PhD.	25.6.2008
JUDr. Zoltán Boros	31.3.2006
Mgr. Boris Brondoš	25.6.2008
JUDr. Ladislav Bujňák	18.3.2005
JUDr. Boris Buľubaš	22.1.2008
JUDr. Gabriela Buľubašová	20.6.2005
JUDr. Agáta Burkušová	20.6.2005
JUDr. Ľubomír Bušík, PhD.	18.3.2005
JUDr. Jarmila Centková	31.3.2006
JUDr. Peter Csank	22.1.2008
Mgr. Božena Csibrányiová	1.7.2004
JUDr. Diana Cviková	22.1.2008
JUDr. Miron Čiževský	18.3.2005
JUDr. Ivana Dančová	20.6.2005
JUDr. Janka Danková	29.6.2010
JUDr. Rastislav Dlugoš	15.6.2006
Mgr. Erika Dodulíková	16.9.2004
JUDr. Otília Doláková	20.6.2005
JUDr. Marcela Dolníková Žabková	26.6.2007
Mgr. Daniela Drnáková	17.1.2007
JUDr. Ing. Mario Dubaň	15.6.2006
JUDr. Mgr. Monika Dubjel	25.1.2010
JUDr. Emil Dubňanský	26.6.2007
JUDr. Martina Dubovcová	12.2.2013
JUDr. Jana Dudíková	25.6.2008
Mgr. Dušan Ďurian	22.1.2008
JUDr. Eva Dzúriková	12.2.2013
JUDr. Eva Farkašová	20.6.2005
Mgr. Monika Farkašová	26.6.2007
Mgr. Dana Ferková	20.6.2005
JUDr. Michal Fiala	11.1.2005
JUDr. Anna Frigová	15.6.2006
JUDr. Michaela Frimmelová	4.9.2007
JUDr. Zuzana Gajerová	24.9.2008
JUDr. Tibor Gál	20.6.2005
JUDr. Slávka Garančovská	20.6.2005
Mgr. Renáta Gavalcová	1.7.2004
JUDr. Ing. Miroslav Gavalec	20.6.2005
Mgr. Mariana Gavalierová	20.6.2005
JUDr. Andrea Gazdagová	31.3.2006
JUDr. Iveta Gildeinová	20.6.2005
JUDr. Andrea Gindlová	17.3.2008
Mgr. Lívia Gombárová	12.2.2013
JUDr. Radovan Groman	4.2.2009
JUDr. Andrea Hadnagyová	24.9.2008
JUDr. Monika Halkociová	29.10.2004
JUDr. Lenka Halmešová	22.1.2008
Mgr. Ivana Hanuščaková	29.6.2010
JUDr. Roman Hargaš	29.11.2005
JUDr. Slavomír Harmóci	20.6.2005
Mgr. Zuzana Hartelová	17.1.2011
JUDr. Mariana Harvancová	18.3.2005
JUDr. Andrea Havírová	25.6.2008
Mgr. Ivana Heinrichová	20.6.2005
JUDr. Martin Holič	17.1.2007
JUDr. Marianna Hosťovecká	29.11.2005
JUDr. Ján Hrubala	2.5.2005
JUDr. Hana Hubináková	12.2.2013
JUDr. Mária Husárová	4.9.2007
JUDr. Milan Husák	29.6.2010
JUDr. Veronika Húšťová	29.11.2005
Mgr. Dušan Chamula	20.6.2005
JUDr. Lucia Chrapková, PhD.	4.9.2007
JUDr. Daniel Ilavský	29.11.2005
JUDr. Slavomír Ivanecký	17.6.2009
JUDr. Milena Jakubíková	22.1.2008
Mgr. Rastislav Jakubovič	20.6.2005
JUDr. Mária Jamrišková, PhD.	25.6.2008
Mgr. Alena Jančulová	25.1.2010
JUDr. Monika Jankovská	29.10.2004
JUDr. Milina Jánošková	20.6.2005
JUDr. Erik Kačmár	12.2.2013
JUDr. Ingrid Kalináková	17.1.2011
JUDr. Petr Kaňa	29.6.2010
JUDr. Antónia Kandravá	29.11.2005
Mgr. Mária Kašíková	4.9.2007
Mgr. Katarína Katková	17.6.2009
Mgr. Andrej Kekely	17.1.2007
JUDr. Ondrej Kekeňák, PhD.	26.6.2007
JUDr. Jana Keselicová	4.2.2009
JUDr. Marcel Kirnág	4.9.2007
JUDr. Branislav Klukoš	26.6.2007
JUDr. Marek Kohút	18.3.2005
JUDr. Martin Kolesár	22.1.2008
JUDr. Martin Kollár	20.6.2005
JUDr. Natália Kolláriková	17.6.2009
Mgr. Nina Kollárová	29.11.2005
Mgr. Peter Koman	24.9.2008
JUDr. Andrea Kondllová	24.9.2008
JUDr. Martin Kopina	29.6.2010
JUDr. Zuzana Korčeková	20.6.2005
JUDr. Monika Koščová	17.1.2007
JUDr. Marek Kotora	20.6.2005
JUDr. Daniela Kotrecová	29.11.2005
JUDr. Tatiana Kovácsová	20.6.2005
JUDr. Vladimír Kozáčik	16.9.2004
JUDr. Michaela Krajčová	29.11.2005
JUDr. Branislav Král	22.1.2008
JUDr. Michaela Králová	24.9.2008
JUDr. Dušan Krč - Šebera	29.6.2010
JUDr. Rastislav Kresl	22.1.2008
JUDr. Ľubomíra Krchníková	24.9.2008
JUDr. Andrea Krišková	25.1.2010
JUDr. Katarína Krivulčíková	20.6.2005
Mgr. Anna Križáková	4.9.2007
JUDr. Karol Krochta	24.9.2008
Mgr. Ivan Kubínyi	25.1.2010
JUDr. Mária Kubusová	1.7.2004
JUDr. Zuzana Kučerová	11.1.2005
JUDr. Zuzana Kudlovská	17.1.2011
JUDr. Vladimír Kurák	22.1.2008
JUDr. Monika Kurjaková	15.6.2006
JUDr. Viera Kvetková	20.6.2005
JUDr. Peter Kvietok	22.1.2008
JUDr. Gabriela Kyseľová	26.6.2007
Mgr. Libor Kysucký	17.1.2007
JUDr. Martina Ľachová	12.2.2013
JUDr. Elena Lámerová	29.10.2004
JUDr. Branislav Lečko	16.9.2004
Mgr. Zita Leimbergerová	25.1.2010
JUDr. Zuzana Levkušová	25.1.2010
JUDr. David Lindtner	17.3.2008
JUDr. Monika Liptáková	22.1.2008
JUDr. Lýdia Lučivjanská	29.11.2005
Mgr. Juraj Lukáč	12.2.2013
JUDr. Marián Mačura	22.1.2008
Mgr. Danka Majdáková	29.10.2004
JUDr. Janka Majerčíková	20.6.2005
JUDr. Roman Majerský	17.1.2011
JUDr. Miroslava Maláriková	18.3.2005
JUDr. Marcela Malatká	15.6.2006
JUDr. Igor Malý	20.6.2005
JUDr. Ing. Miroslav Manďák	18.3.2005
JUDr. Marián Manduch	15.6.2006
Mgr. Miriam Manová	25.6.2008
JUDr. Markéta Marečková	20.6.2005
Mgr. Ivo Maruščák	26.6.2007
JUDr. Jozef Medveď	25.6.2008
JUDr. Martina Melníková	29.6.2010
JUDr. Eva Mészárosová	4.2.2009
JUDr. Oľga Mičietová	16.9.2004
Mgr. Anna Miháliková	29.11.2005
JUDr. Renáta Mihalíková	29.6.2010
JUDr. Božena Michaláčová	18.3.2005
JUDr. Martin Michalanský	18.3.2005
JUDr. Zuzana Miklošová	29.6.2010
JUDr. Alena Miková	20.6.2005
JUDr. Silvia Minková	24.9.2008
JUDr. Patrícia Miskolczyová	15.6.2006
JUDr. Milan Mitterpák	20.6.2005
JUDr. Andrea Moravčíková, PhD.	22.1.2008
JUDr. Zuzana Moťovská Dobošová	15.6.2006
JUDr. František Mozner	22.1.2008
JUDr. Pavol Naď	31.3.2006
JUDr. Renáta Nemčeková, PhD.	20.6.2005
JUDr. Erika Némethová Stiffelová	29.6.2010
JUDr. Oľga Nižňanská	20.6.2005
JUDr. Denisa Novotná Mlinárcsiková	20.6.2005
Mgr. Janette Nôtová	29.10.2004
JUDr. Jana Ocelková	29.6.2010
JUDr. Jana Očenášová	12.2.2013
JUDr. Mária Ondrejová	29.6.2010
JUDr. Dáša Onuferová	31.3.2006
JUDr. Beáta Oreničová	29.10.2004
Mgr. Alexandra Osadská	29.6.2010
JUDr. Gabriela Panáková	29.11.2005
Mgr. Alena Paveleková	22.1.2008
Mgr. Vlastimil Pavlikovský	29.10.2004
JUDr. Ivan Pavlovič	1.7.2004
JUDr. Miriam Penjaková	29.11.2005
JUDr. Naďa Pethöová	22.1.2008
Mgr. Viera Petrová	16.9.2004
Mgr. Kamil Petrovič	25.6.2008
JUDr. Slávka Petrovičová	29.10.2004
JUDr. Mariana Philadelphyová	24.9.2008
Mgr. Daniela Pilarčíková	24.9.2008
JUDr. Zuzana Pilátová	29.6.2010
JUDr. Karol Posluch	15.6.2006
JUDr. Adriana Považanová	22.1.2008
JUDr. Patrik Príbelský, PhD.	22.1.2008
JUDr. Petra Priečinská	17.3.2008
JUDr. Lenka Protznerová	20.6.2005
JUDr. Igor Ragan	4.2.2009
JUDr. Peter Rajňák	17.3.2008
JUDr. Roman Reištetter	17.1.2007
JUDr. Miriam Repáková	29.6.2010
JUDr. Peter Revák	20.6.2005
JUDr. Marián Rošak	17.1.2007
JUDr. Ružena Sabová	29.10.2004
JUDr. Lenka Saloková	20.6.2005
JUDr. Andrea Sedlačková	17.6.2009
JUDr. Stanislava Semanová	20.6.2005
JUDr. Rastislav Sikorjak	22.1.2008
JUDr. Monika Sitáriková	20.6.2005
Mgr. Mária Sitárová	20.6.2005
Mgr. Peter Sivák	25.6.2008
Mgr. Patricia Skotnická	25.1.2010
JUDr. Iveta Slebodníková	20.6.2005
JUDr. Vladimíra Slobodová	17.6.2009
JUDr. Martin Smolko	18.3.2005
JUDr. Stanislav Sojka, PhD.	20.6.2005
JUDr. Iveta Sopková	12.2.2013
JUDr. Miriam Srogončíková	4.2.2009
JUDr. Andrej Stachovič	4.2.2009
Mgr. Ján Stanček	18.3.2005
JUDr. Blažena Stašíková	4.9.2007
JUDr. Rastislav Stieranka	16.9.2004
JUDr. Milan Straka	11.1.2005
Mgr. Peter Straka	12.2.2013
JUDr. Radoslav Svitana, PhD.	22.1.2008
JUDr. Iveta Sýkorová	16.9.2004
Mgr. Adriana Szaniszlová	29.11.2005
JUDr. Miriam Szárazová	24.9.2008
JUDr. Ľubomír Šabľa	12.2.2013
Mgr. Monika Šabľová	1.7.2004
JUDr. Peter Šamko	17.3.2008
JUDr. Želmíra Šebová	18.3.2005
JUDr. Marek Šenkár	24.9.2008
Mgr. Miroslav Šepták	29.10.2004
JUDr. Ivan Šimek	29.6.2010
Mgr. Katarína Šimková	15.6.2006
Mgr. Ingrid Šimonová	18.3.2005
JUDr. Alena Šišková	20.6.2005
Mgr. Katarína Škrovanová	15.6.2006
Mgr. Katarína Škultétyová	25.1.2010
Mgr. Ivana Šlesarová	29.10.2004
JUDr. Ján Šmrhola	15.6.2006
JUDr. Robert Šorl, PhD.	17.1.2007
JUDr. Katarína Šťastná	31.3.2006
Mgr. Agáta Štefaničová	4.2.2009
JUDr. Juraj Šteffel	17.1.2007
JUDr. Patrik Števík	20.6.2005
JUDr. Ivana Štiftová	18.3.2005
JUDr. Miriam Štillová	15.6.2006
Mgr. Martin Štubniak	29.6.2010
JUDr. Renáta Šulajová	20.6.2005
JUDr. Elena Šuríková	1.7.2004
JUDr. Peter Šuťák	29.11.2005
JUDr. Silvia Šviderská	17.1.2007
Mgr. Silvia Tisová	29.6.2010
JUDr. Štefan Tomáš	15.6.2006
JUDr. Vladimír Topoľančík	24.9.2008
JUDr. Július Tóth	15.6.2006
Mgr. Martina Trnavská	24.9.2008
JUDr. Mária Trubanová, PhD.	22.1.2008
JUDr. Noema Turanovičová	15.6.2006
JUDr. Erik Uhlár	29.6.2010
JUDr. Michal Uhorskai	29.6.2010
JUDr. Eva Uličná	22.1.2008
Mgr. Adela Unčovská	25.1.2010
JUDr. Soňa Vacková	29.10.2004
JUDr. Erik Varga	15.6.2006
JUDr. Pavel Varga	29.11.2005
JUDr. Rastislav Varga	29.6.2010
JUDr. Vladimír Varga	29.6.2010
Mgr. Anna Vargová	29.10.2004
JUDr. Ľubov Vargová	4.2.2009
JUDr. Denis Vékony	18.3.2005
JUDr. Eva Vékonyová	20.6.2005
JUDr. Ildikó Vekrbauerová	16.9.2004
JUDr. Jana Veselá	16.9.2004
JUDr. Danica Veselovská	20.6.2005
Mgr. Lucia Vícenová	29.6.2010
JUDr. Jana Vlčková	1.7.2004
JUDr. Myrtill Vojteková	1.7.2004
JUDr. Stanislav Vojtko	24.9.2008
Mgr. Marián Vorobel	20.6.2005
JUDr. Katarína Vorobelová	20.6.2005
JUDr. Mária Vrtochová	22.1.2008
JUDr. Eliška Wagshalová	26.6.2007
JUDr. Nadežda Wallnerová	29.6.2010
JUDr. Silvia Walterová	20.6.2005
JUDr. Dana Wänkeová	1.7.2004
JUDr. Júlia Weiserová	20.6.2005
Mgr. Pamela Záleská	25.6.2008
JUDr. Martina Zeleňaková	15.6.2006
JUDr. Jozef Zlocha	4.2.2009
JUDr. Andrea Zolotová	4.9.2007
JUDr. Martin Žovinec	29.11.2005
Mgr. Milena Fegyesová	1.7.2004
Mgr. Maroš Fekete	11.1.2005
JUDr. Kristína Glezgová	29.10.2004
Mgr. Richard Golis	26.6.2007
Mgr. Patrície Kepeňová	1.7.2004
JUDr. Dana Macášková	1.7.2004
JUDr. Róbert Matulák	1.7.2004
JUDr. Jozef Mikluš	29.10.2004
JUDr. Paulína Pacherová	11.1.2005
JUDr. Katarína Bartalská	13.5.2013
Mgr. Michal Kačáni	13.5.2013
JUDr. Michal Dzurdzík	13.5.2013
JUDr. Miriam Oswaldová	13.5.2013
JUDr. Michala Bašticová	13.5.2013
Mgr. Zuzana Maruniaková	13.5.2013
JUDr. Monika Jakubová	13.5.2013
JUDr. Jaroslav Ivan	13.5.2013
JUDr. Terézia Mecelová	13.5.2013
JUDr. Jana Tóthová	13.5.2013
Mgr. Peter Hvizdoš	13.5.2013
Mgr. Lenka Kvasnicová	13.5.2013
JUDr. Marcela Ostrihoňová	13.5.2013
JUDr. Ing. Erika Trtalová	13.5.2013
JUDr. Juraj Valášek	13.5.2013
Mgr. Štefan Fedor	13.5.2013
Mgr. Marianna Hašková	13.5.2013
Mgr. Marek Mikulčík	13.5.2013
JUDr. Eva Matulayová, PhD.	13.5.2013
JUDr. Denisa Cviková	13.5.2013
JUDr. Jana Novotná Mlinárcsiková	13.5.2013
JUDr. Laura Žideková	13.5.2013
JUDr. Miroslava Kvetková	13.5.2013
JUDr. Bc. Viktor Marko	13.5.2013
JUDr. Zuzana Štubniaková Kochanová	13.5.2013
Mgr. Daniel Koneracký	13.5.2013
JUDr. Jana Raganová	13.5.2013
JUDr. Lucia Baňacká, PhD.	13.5.2013
JUDr. Ladislav Bujňák ml.	13.5.2013
JUDr. Jeanette Hajdinová	22.10.2013
JUDr. René Milták	22.10.2013
Mgr. Mgr. Miriam Plavčáková	22.10.2013
JUDr. Michal Valent	22.10.2013
JUDr. Michal Kubiš	22.10.2013
JUDr. Lenka Evinová	22.10.2013
Mgr. Michal Viagš	22.10.2013
Mgr. Silvia Kysucká	22.10.2013
JUDr. Oliver Kolenčík	22.10.2013
JUDr. Oľga Kováčová	22.10.2013
JUDr. Vladimír Tamaškovič	22.10.2013
JUDr. Ľubomíra Krišťáková	22.10.2013
JUDr. Michaela Brašková	22.10.2013
JUDr. Milan Antal	22.10.2013
JUDr. Anna Hýseková	22.10.2013
JUDr. Katarína Červenková	22.10.2013
JUDr. Marek Bujňák	22.10.2013
Mgr. Anna Monoková	22.10.2013
Mgr. Jana Janics Bajánková	29.4.2014
JUDr. Karol Rihák	29.4.2014
JUDr. Viera Malinowská	29.4.2014
Mgr. Adriana Šimková	29.4.2014
Mgr. Gabriela Repková	29.4.2014
JUDr. Zuzana Kotríková	29.4.2014
JUDr. Viktória Bagala Vrábelová	29.4.2014
JUDr. Martina Líšková	29.4.2014
Mgr. Silvia Majkutová Lesňáková	29.4.2014
JUDr. Miroslava Korbašová	29.4.2014
JUDr. Katarína Krochtová	29.4.2014
JUDr. Michaela Kotusová Hucová	29.4.2014
JUDr. Vladimír Sklenka	12.6.2014
Mgr. Lucia Mizerová	12.6.2014
JUDr. Katarína Batisová	12.6.2014
JUDr. Zuzana Pribulová	12.6.2014
JUDr. Dušan Špirek	12.6.2014
JUDr. Michal Mravec	12.6.2014
JUDr. Daniel Ivanko	12.6.2014
JUDr. Juraj Vallo	12.6.2014
JUDr. Miroslav Šedivec	12.6.2014
JUDr. Ján Šulgan	12.6.2014
Mgr. Peter Revický	12.6.2014
Mgr. Zuzana Gašpírová	26.8.2014
Mgr. Michal Novotný	26.8.2014
Mgr. Zuzana Dojčánová	26.8.2014
JUDr. Zuzana Slušná	26.8.2014
Mgr. Radoslav Smatana, PhD.	26.8.2014
JUDr. Matúš Tarcala	26.8.2014
JUDr. Monika Kráľová	26.8.2014
JUDr. Stanislava Padúchová	16.12.2014
JUDr. Ľuboš Murgaš	16.12.2014
JUDr. Juraj Fujerik	16.12.2014
Mgr. Tomáš Saraka	16.12.2014
JUDr. Jana Smereková	16.12.2014
JUDr. Andrej Radomský	16.12.2014
Mgr. Ing. Judita Gabonaiová Hrenčuková	16.12.2014
